title,brand,list_price,price,stock,url,branch_id,category,subcategory
Yogur Batido Ser Natur Durazno Sin Lactosa x 140 gr,Ser,1095.0,738.6,In Stock,https://www.hiperlibertad.com.ar/yogur-batido-ser-natur-durazno-sin-lactosa-x-140-gr/p,12,lacteos,yogures
Yogur Bebible Ser Frutilla x 900 gr,Ser,2202.0,1454.7,In Stock,https://www.hiperlibertad.com.ar/yogur-bebible-ser-frutilla-x-900-gr/p,12,lacteos,yogures
YOGUR BEBIBLE LA SERENISIMA VAINILLA CLASICO X 900 Gr,La Serenisima,None,1069.0,In Stock,https://www.hiperlibertad.com.ar/yogur-bebible-la-serenisima-vainilla-clasico-x-900-gr/p,12,lacteos,yogures
Yogur Con Cereales Manfrey 170Gr,Manfrey,None,302.0,In Stock,https://www.hiperlibertad.com.ar/yogur-con-cereales-manfrey-170gr/p,12,lacteos,yogures
YOGUR YOGURISIMO ESTILO GRIEGO FRUTILLAS A LA CREMA X 125 Gr,Yogurísimo,None,615.3,In Stock,https://www.hiperlibertad.com.ar/yogur-yogurisimo-estilo-griego-frutillas-a-la-crema-x-125-gr/p,12,lacteos,yogures
Yogur Firme Entero De Vainilla Yofrey 140Gr,Manfrey,None,190.0,In Stock,https://www.hiperlibertad.com.ar/yogur-firme-entero-de-vainilla-yofrey-140gr/p,12,lacteos,yogures
YOGUR ILOLAY DESCREMADO C/CEREAL X 150ML,Ilolay,None,333.0,In Stock,https://www.hiperlibertad.com.ar/yogur-ilolay-descremado-c-cereal-x-150ml/p,12,lacteos,yogures
Yogur entero firme La serenísima sabor frutilla en pote 190 g.,Mir,644.0,390.6,In Stock,https://www.hiperlibertad.com.ar/lsc-firme-enter-frut-x-190gr/p,12,lacteos,yogures
YOGUR SER DESCREMADO FIRME FRUTILLA X 190 Gr,Ser,720.0,515.2,In Stock,https://www.hiperlibertad.com.ar/yogur-ser-descremado-firme-frutilla-x-190-gr/p,12,lacteos,yogures
YOGUR SER BATIDO NATURAL X 175 Gr,Ser,966.0,645.2,In Stock,https://www.hiperlibertad.com.ar/yogur-ser-batido-natural-x-175-gr/p,12,lacteos,yogures
Yogur entero firme La serenísima sabor vainilla en pote 120 g.,Mir,239.0,226.4,In Stock,https://www.hiperlibertad.com.ar/firme-lsc-entero-vaini-x120gr/p,12,lacteos,yogures
YOGUR YATASTO DESCREMADO VAINILLA X 1 L,Mir,None,440.0,In Stock,https://www.hiperlibertad.com.ar/yogur-yatasto-descremado-vainilla-x-1-l/p,12,lacteos,yogures
Yogur bebible frutilla manzana? Activia 1kg,Activia,None,712.0,In Stock,https://www.hiperlibertad.com.ar/yogur-bebible-frutilla-manzana-activia-1kg/p,12,lacteos,yogures
Yogur bebible ciruela? Activia 1kg,Activia,None,712.0,In Stock,https://www.hiperlibertad.com.ar/yogur-bebible-ciruela-activia-1kg/p,12,lacteos,yogures
YOGUR YOGURISIMO ESTILO GRIEGO DURAZNOS A LA CREMA X 125 Gr,Yogurísimo,None,615.3,In Stock,https://www.hiperlibertad.com.ar/yogur-yogurisimo-estilo-griego-duraznos-a-la-crema-x-125-gr/p,12,lacteos,yogures
YOGUR SER CEREALES CON MIEL X 166 Gr,Ser,1003.0,801.7,In Stock,https://www.hiperlibertad.com.ar/yogur-ser-cereales-con-miel-x-166-gr/p,12,lacteos,yogures
YOGUR SER DESCREMADO CON COLCHON DE FRUTOS ROJOS X 175 Gr,Ser,994.0,697.9,In Stock,https://www.hiperlibertad.com.ar/yogur-ser-descremado-con-colchon-de-frutos-rojos-x-175-gr/p,12,lacteos,yogures
Yogur Bebible Yofurisimo Entero Vainilla Tetrabrick x 1 Lt,Yogurísimo,None,1631.5,In Stock,https://www.hiperlibertad.com.ar/yogur-bebible-yofurisimo-entero-vainilla-tetrabrick-x-1-lt/p,12,lacteos,yogures
